id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
317,restaurant,osm-node-5942230789,Bo ne,Da Nang,16.0701223,108.2228896,am-thuc-dia-phuong,False,locations,97,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5942230789
318,restaurant,osm-node-5947469388,Pho 139,Da Nang,16.0422624,108.2412865,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5947469388
322,restaurant,osm-node-5947469394,bun cha ha noi 58 Thai phien,Da Nang,16.0651171,108.2218944,am-thuc-dia-phuong,False,locations,38,90.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5947469394
327,restaurant,osm-node-5977538086,"Banh xeo, Bun thit nuong k25/16",Da Nang,16.0661084,108.2231021,am-thuc-dia-phuong,False,locations,19,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5977538086
330,restaurant,osm-node-5993039994,Bun cha va beo 120,Da Nang,16.0614101,108.2107771,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5993039994
332,restaurant,osm-node-6001904585,Bun thit nuong Nga 191,Da Nang,16.0658388,108.2237856,am-thuc-dia-phuong,False,locations,75,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6001904585
339,restaurant,osm-node-6109275899,BBQ Grill Roaster,Da Nang,16.048356,108.2466278,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6109275899
340,restaurant,osm-node-6109480851,Issun Boshi,Da Nang,16.0489959,108.2467271,am-thuc-dia-phuong,False,locations,48,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6109480851
341,restaurant,osm-node-6109480872,Vallhalla GRILL,Da Nang,16.0484563,108.2465774,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6109480872
345,restaurant,osm-node-6146772485,Bun Mam Van 20k,Da Nang,16.0667417,108.2170505,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6146772485
346,restaurant,osm-node-6146787785,Ba Vui Xoi Ga 25k,Da Nang,16.0641275,108.2210621,am-thuc-dia-phuong,False,locations,53,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6146787785
348,restaurant,osm-node-6146805186,Bun Mam Co Loc,Da Nang,16.0675517,108.2201686,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6146805186
350,restaurant,osm-node-6146812885,Phu Hong,"19, Duong Yen Bai, Da Nang",16.0691035,108.2229133,am-thuc-dia-phuong,False,locations,84,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6146812885
351,restaurant,osm-node-6146979985,Banh Canh Thu,Da Nang,16.0730481,108.220801,am-thuc-dia-phuong,False,locations,26,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6146979985
